temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante,penales,pen_local,,pen_visitante,Score,,,,,,,
2025/26,Apertura,7,2025-08-30,17:00,Leon,Queretaro,3,0,FALSE,,,,3–0,,,,"21,351",Estadio Leon,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,7,2025-08-30,19:00,Santos Laguna,UANL,0,1,FALSE,,,,0–1,,,,"15,457",Estadio Nuevo Corona,Marco Antonio Ortíz,Match Report
2025/26,Apertura,7,2025-08-30,19:07,Guadalajara,Cruz Azul,1,2,FALSE,,,,1–2,,,,"40,170",Estadio Akron,Víctor Cáceres,Match Report
2025/26,Apertura,7,2025-08-30,21:05,America,Pachuca,2,0,FALSE,,,,2–0,,,,,Estadio de la Ciudad de los Deportes,Ismael López,Match Report
2025/26,Apertura,7,2025-08-31,16:00,UNAM,Atlas,1,0,FALSE,,,,1–0,,,,"17,195",Estadio Olímpico de Universitario,Martín Molina,Match Report
2025/26,Apertura,7,2025-08-31,21:00,Tijuana,Necaxa,3,0,FALSE,,,,3–0,,,,"17,233",Estadio Caliente,César Arturo Ramos,Match Report
2025/26,Apertura,8,2025-09-12,19:00,Necaxa,FC Juárez,1,1,FALSE,,,,1–1,,,,"10,987",Estadio Victoria de Aguascalientes,Maximiliano Quintero,Match Report
2025/26,Apertura,8,2025-09-12,21:00,Mazatlan,UNAM,1,4,FALSE,,,,1–4,,,,"10,606",Estadio El Encanto,Adonai Escobedo,Match Report
2025/26,Apertura,8,2025-09-13,17:00,Pachuca,Cruz Azul,0,1,FALSE,,,,0–1,,,,"19,479",Estadio Hidalgo,Joaquín Vizcarra Armenta,Match Report
2025/26,Apertura,8,2025-09-13,19:00,Atlas,Santos Laguna,2,2,FALSE,,,,2–2,,,,"13,982",Estadio Jalisco,Guillermo Pacheco,Match Report
2025/26,Apertura,8,2025-09-13,19:00,UANL,Leon,0,0,FALSE,,,,0–0,,,,"40,186",Estadio Universitario de Nuevo Leon,Daniel Quintero,Match Report
2025/26,Apertura,8,2025-09-13,21:00,Toluca,Puebla,3,1,FALSE,,,,3–1,,,,"26,589",Estadio Nemesio Díez,Karen Hernández,Match Report
2025/26,Apertura,8,2025-09-13,21:15,America,Guadalajara,1,2,FALSE,,,,1–2,,,,"30,247",Estadio de la Ciudad de los Deportes,Oscar Mejía,Match Report
2025/26,Apertura,8,2025-09-14,17:00,Queretaro,Monterrey,0,1,FALSE,,,,0–1,,,,"15,673",Estadio La Corregidora,Katia García,Match Report
2025/26,Apertura,8,2025-09-14,19:00,Atlético San Luis,Tijuana,1,1,FALSE,,,,1–1,,,,"13,178",Estadio Alfonso Lastras Ramírez,Charles Terrazas,Match Report
2025/26,Apertura,1,2025-09-17,19:07,Guadalajara,UANL,0,0,FALSE,,,,0–0,,,,"29,297",Estadio Akron,César Arturo Ramos,Match Report
2025/26,Apertura,9,2025-09-19,19:00,Necaxa,Puebla,1,0,FALSE,,,,1–0,,,,"11,490",Estadio Victoria de Aguascalientes,Jorge Camacho,Match Report
2025/26,Apertura,9,2025-09-19,19:00,Cruz Azul,FC Juárez,3,2,FALSE,,,,3–2,,,,"15,815",Estadio Olímpico de Universitario,Ismael López,Match Report
2025/26,Apertura,9,2025-09-19,21:00,Mazatlan,Atlas,1,1,FALSE,,,,1–1,,,,"9,962",Estadio El Encanto,Luis García,Match Report
2025/26,Apertura,9,2025-09-19,21:05,Tijuana,Leon,5,0,FALSE,,,,5–0,,,,"18,333",Estadio Caliente,Vicente Arce,Match Report
2025/26,Apertura,9,2025-09-20,17:00,Pachuca,Queretaro,0,2,FALSE,,,,0–2,,,,"6,942",Estadio Hidalgo,Fernando Hernández,Match Report
2025/26,Apertura,9,2025-09-20,19:00,UNAM,UANL,1,1,FALSE,,,,1–1,,,,"25,935",Estadio Olímpico de Universitario,Oscar Mejía,Match Report
2025/26,Apertura,9,2025-09-20,19:07,Guadalajara,Toluca,0,3,FALSE,,,,0–3,,,,"37,731",Estadio Akron,Marco Antonio Ortíz,Match Report
2025/26,Apertura,9,2025-09-20,21:05,Monterrey,America,2,2,FALSE,,,,2–2,,,,"50,910",Estadio BBVA,Víctor Cáceres,Match Report
2025/26,Apertura,9,2025-09-21,17:00,Santos Laguna,Atlético San Luis,1,4,FALSE,,,,1–4,,,,"9,032",Estadio Nuevo Corona,Abraham Quirarte,Match Report
2025/26,Apertura,10,2025-09-23,19:00,Puebla,Pachuca,2,2,FALSE,,,,2–2,,,,"9,939",Estadio Cuauhtémoc,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,10,2025-09-23,19:07,Guadalajara,Necaxa,3,1,FALSE,,,,3–1,,,,"25,130",Estadio Akron,Maximiliano Quintero,Match Report
2025/26,Apertura,10,2025-09-23,21:00,FC Juárez,UNAM,3,1,FALSE,,,,3–1,,,,"10,090",Estadio Olímpico Benito Juárez,Salvador Pérez Villalobos,Match Report
2025/26,Apertura,10,2025-09-23,21:05,Leon,Mazatlan,2,2,FALSE,,,,2–2,,,,"24,335",Estadio Leon,Martín Molina,Match Report
2025/26,Apertura,10,2025-09-24,18:00,Cruz Azul,Queretaro,2,2,FALSE,,,,2–2,,,,"16,783",Estadio Olímpico de Universitario,Karen Hernández,Match Report
2025/26,Apertura,10,2025-09-24,19:00,UANL,Atlas,2,0,FALSE,,,,2–0,,,,"36,168",Estadio Universitario de Nuevo Leon,Vicente Arce,Match Report
2025/26,Apertura,10,2025-09-24,20:00,Toluca,Monterrey,6,2,FALSE,,,,6–2,,,,"25,772",Estadio Nemesio Díez,César Arturo Ramos,Match Report
2025/26,Apertura,10,2025-09-24,21:00,Santos Laguna,Tijuana,1,0,FALSE,,,,1–0,,,,"7,154",Estadio Nuevo Corona,Iván López,Match Report
2025/26,Apertura,10,2025-09-24,21:00,Atlético San Luis,America,0,1,FALSE,,,,0–1,,,,"22,841",Estadio Alfonso Lastras Ramírez,Fernando Hernández,Match Report
2025/26,Apertura,11,2025-09-26,19:00,FC Juárez,Leon,2,0,FALSE,,,,2–0,,,,"7,008",Estadio Olímpico Benito Juárez,Charles Terrazas,Match Report
2025/26,Apertura,11,2025-09-27,17:00,Pachuca,Atlético San Luis,2,1,FALSE,,,,2–1,,,,"10,450",Estadio Hidalgo,Marco Antonio Ortíz,Match Report
2025/26,Apertura,11,2025-09-27,17:00,Puebla,Guadalajara,0,2,FALSE,,,,0–2,,,,"22,177",Estadio Cuauhtémoc,Ismael López,Match Report
2025/26,Apertura,11,2025-09-27,17:00,Atlas,Necaxa,3,2,FALSE,,,,3–2,,,,"13,567",Estadio Jalisco,Víctor Cáceres,Match Report
2025/26,Apertura,11,2025-09-27,19:00,Toluca,Mazatlan,3,1,FALSE,,,,3–1,,,,"22,273",Estadio Nemesio Díez,Abraham Quirarte,Match Report
2025/26,Apertura,11,2025-09-27,19:00,Monterrey,Santos Laguna,1,0,FALSE,,,,1–0,,,,"46,290",Estadio BBVA,Luis Enrique Santander,Match Report
2025/26,Apertura,11,2025-09-27,21:05,America,UNAM,4,1,FALSE,,,,4–1,,,,"26,387",Estadio de la Ciudad de los Deportes,César Arturo Ramos,Match Report
2025/26,Apertura,11,2025-09-28,17:00,Queretaro,UANL,0,2,FALSE,,,,0–2,,,,"17,710",Estadio La Corregidora,Guillermo Pacheco,Match Report
2025/26,Apertura,11,2025-09-28,21:05,Tijuana,Cruz Azul,2,0,FALSE,,,,2–0,,,,"29,333",Estadio Caliente,Jorge Camacho,Match Report
2025/26,Apertura,12,2025-10-03,19:00,Necaxa,Pachuca,0,1,FALSE,,,,0–1,,,,"12,777",Estadio Victoria de Aguascalientes,Guillermo Pacheco,Match Report
2025/26,Apertura,12,2025-10-03,21:00,Mazatlan,Atlético San Luis,2,1,FALSE,,,,2–1,,,,"7,993",Estadio El Encanto,Iván López,Match Report
2025/26,Apertura,12,2025-10-03,21:05,Atlas,FC Juárez,3,1,FALSE,,,,3–1,,,,"13,504",Estadio Jalisco,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,12,2025-10-04,17:00,Queretaro,Puebla,3,1,FALSE,,,,3–1,,,,"7,763",Estadio La Corregidora,Vicente Arce,Match Report
2025/26,Apertura,12,2025-10-04,19:00,UANL,Cruz Azul,1,1,FALSE,,,,1–1,,,,"41,615",Estadio Universitario de Nuevo Leon,Ismael López,Match Report
2025/26,Apertura,12,2025-10-04,19:00,Leon,Toluca,2,4,FALSE,,,,2–4,,,,"25,795",Estadio Leon,Jesús López,Match Report
2025/26,Apertura,12,2025-10-04,21:05,America,Santos Laguna,3,0,FALSE,,,,3–0,,,,"21,870",Estadio de la Ciudad de los Deportes,Maximiliano Quintero,Match Report
2025/26,Apertura,12,2025-10-05,19:35,UNAM,Guadalajara,1,2,FALSE,,,,1–2,,,,"41,350",Estadio Olímpico de Universitario,Daniel Quintero,Match Report
2025/26,Apertura,12,2025-10-05,21:05,Tijuana,Monterrey,2,2,FALSE,,,,2–2,,,,"22,333",Estadio Caliente,Adonai Escobedo,Match Report
2025/26,Apertura,13,2025-10-17,19:00,Puebla,Tijuana,4,3,FALSE,,,,4–3,,,,"6,955",Estadio Cuauhtémoc,Marco Antonio Ortíz,Match Report
2025/26,Apertura,13,2025-10-17,21:00,Atlético San Luis,Atlas,2,0,FALSE,,,,2–0,,,,"13,534",Estadio Alfonso Lastras Ramírez,Joaquín Vizcarra Armenta,Match Report
2025/26,Apertura,13,2025-10-17,21:00,UANL,Necaxa,5,3,FALSE,,,,5–3,,,,"41,615",Estadio Universitario de Nuevo Leon,Adonai Escobedo,Match Report
2025/26,Apertura,13,2025-10-18,17:00,FC Juárez,Pachuca,2,2,FALSE,,,,2–2,,,,"6,053",Estadio Olímpico Benito Juárez,César Arturo Ramos,Match Report
2025/26,Apertura,13,2025-10-18,17:00,Toluca,Queretaro,4,0,FALSE,,,,4–0,,,,"27,273",Estadio Nemesio Díez,Luis Enrique Santander,Match Report
2025/26,Apertura,13,2025-10-18,17:00,Santos Laguna,Leon,2,0,FALSE,,,,2–0,,,,"8,217",Estadio Nuevo Corona,Daniel Quintero,Match Report
2025/26,Apertura,13,2025-10-18,19:00,Monterrey,UNAM,1,1,FALSE,,,,1–1,,,,"47,706",Estadio BBVA,Víctor Cáceres,Match Report
2025/26,Apertura,13,2025-10-18,19:07,Guadalajara,Mazatlan,2,0,FALSE,,,,2–0,,,,"34,478",Estadio Akron,Fernando Hernández,Match Report
2025/26,Apertura,13,2025-10-18,21:05,Cruz Azul,America,2,1,FALSE,,,,2–1,,,,"40,237",Estadio Olímpico de Universitario,Jesús López,Match Report
2025/26,Apertura,14,2025-10-21,19:00,Necaxa,Cruz Azul,1,1,FALSE,,,,1–1,,,,"17,523",Estadio Victoria de Aguascalientes,Vicente Arce,Match Report
2025/26,Apertura,14,2025-10-21,19:00,America,Puebla,2,1,FALSE,,,,2–1,,,,"18,130",Estadio de la Ciudad de los Deportes,Martín Molina,Match Report
2025/26,Apertura,14,2025-10-21,21:00,Mazatlan,Santos Laguna,2,2,FALSE,,,,2–2,,,,"6,528",Estadio El Encanto,Karen Hernández,Match Report
2025/26,Apertura,14,2025-10-21,21:05,Monterrey,FC Juárez,4,2,FALSE,,,,4–2,,,,"38,734",Estadio BBVA,Iván López,Match Report
2025/26,Apertura,14,2025-10-22,19:00,Queretaro,Guadalajara,1,0,FALSE,,,,1–0,,,,"27,712",Estadio La Corregidora,Maximiliano Quintero,Match Report
